,target_sentence,postcontext,substitutions
10,Grande dame of cooking still going strong at 90: Julia Child celebrates in San Francisco,"How does it feel to turn 90 and have attained the status of an icon, a living legend?","{'dame': ['diva 1', 'lady 2', 'mistress 1', 'mother 1', 'woman 1'], 'cooking': ['cook 1', 'cuisine 2', 'food 1', 'food preparation 1', 'kitchen 1', 'the kitchen 1'], 'still': ['again 1', 'all the same 1', 'be 1', 'calmly 1', 'continually 2', 'continuously 2', 'even so 1', 'however 1', 'likewise 1', 'moreover 1', 'nevertheless 1', 'quietly 1', 'yet 1'], 'going': ['cook 1', 'function 1', 'live 1', 'move 2', 'operate 1', 'progress 1', 'run 1', 'stay 1', 'work 1'], 'strong': ['active 1', 'adeptly 1', 'boldly 1', 'effortlessly 1', 'full steam 1', 'good 1', 'great 2', 'robustly 1', 'tough 1', 'well 1'], 'celebrates': ['dance 1', 'enjoy 1', 'observe joyfully 1', 'party 2', 'rejoice 3']}"
11,Hadson Corp. said it expects to report a third-quarter net loss of $17 million to $19 million because of special reserves and continued low natural-gas prices.,"The Oklahoma City energy and defense concern said it will record a $7.5 million reserve for its defense group, including a $4.7 million charge related to problems under a fixed-price development contract and $2.8 million in overhead costs that won't be reimbursed.","{'said': ['add 1', 'announce that 1', 'cite 1', 'communicate 1', 'confirm 1', 'declare 1', 'report 1', 'state 4'], 'expects': ['anticipate 3', 'figure 1', 'forecast 1', 'foresee 1', 'plan 2', 'predict 2', 'want 1'], 'report': ['announce 2', 'disclose 1', 'file 1', 'have 1', 'post 1', 'record 1', 'render 1', 'show 1', 'state 1'], 'third': ['tertiary 1', 'tri 1'], 'quarter': ['3 month period 1', 'period 1', 'semester 1', 'session 1', 'term 1'], 'net': ['after expense pay 1', 'clean 1', 'final 1', 'monetary 1', 'post cost 1', 'take home 1', 'total 2'], 'loss': ['decrease 2', 'deficit 4', 'fall 1'], 'special': ['certain 1', 'particular 1', 'reserved 1', 'specialized 1', 'unique 3'], 'reserves': ['indicator 1', 'reservoir 1', 'saving 2', 'stock 1', 'storage 1', 'store 1'], 'continued': ['constant 1', 'continue 1', 'endless 1', 'extend 1', 'maintain 1', 'ongoing 1', 'prolonged 1', 'remain 1', 'repeat 1', 'steady 1', 'still 1', 'sustain 1'], 'low': ['cheap 3', 'curtail 1', 'decrease 2', 'deflate 1', 'discounted 1', 'low 1', 'reduce 1', 'slump 1', 'small 1', 'suppress 1', 'weak 1'], 'natural': ['earth make 1', 'non fabricate 1', 'organic 1', 'raw 1', 'whole 1'], 'gas': ['fuel 3', 'gasoline 1', 'oil 1', 'petroleum 1'], 'prices': ['ask price 1', 'charge 2', 'compensation 1', 'cost 3', 'earning 1', 'fee 1', 'rate 1', 'retail price 1', 'sale 1', 'value 2']}"
12,"Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap.","Heritage, which owns 51% of POP's 3.6 million shares outstanding, said it will exchange one share of a new preferred stock for each POP common share it doesn't already own.","{'said': ['affirm 1', 'announce 3', 'mention 1', 'report 1', 'reveal 1', 'state 4'], 'offered': ['attempt 2', 'bid 3', 'make a bid 1', 'make an offer 1', 'proffer 1', 'propose 1', 'suggest 1', 'want 2'], 'buy': ['acquire 2', 'attain 1', 'invest in 1', 'procure 1', 'purchase 5'], 'shares': ['interest 1', 'stake 1', 'stock 5', 'trade 1', 'trading unit 1'], 'already': ['currently 5', 'now 1', 'presently 2', 'yet 2'], 'own': ['claim 1', 'control 1', 'have 4', 'hold 3', 'keep 1', 'possess 2'], 'stock': ['company stock 1', 'market 1', 'share 5', 'stake 1', 'trading unit 1'], 'swap': ['barter 1', 'exchange 3', 'interchange 1', 'market 1', 'trade 4']}"
13,Inauguration of free zone in Dubai for e-commerce,Dubai 10-28 (FP) -,"{'free': ['free 1', 'independent 1', 'open 3', 'self govern 1', 'unfettered 1', 'unlimited 1', 'unrestricted 1'], 'zone': ['area 5', 'district 2', 'range 1', 'region 3', 'section 1', 'sector 1', 'territory 1'], 'e-commerce': ['business 1', 'e business 1', 'e sale 1', 'e trade 2', 'electronic commerce 1', 'online commerce 1', 'trade 1', 'web marketing 1']}"
14,Integra-A Hotel & Restaurant Co. said its planned rights offering to raise about $9 million was declared effective and the company will begin mailing materials to shareholders at the end of this week.,"Under the offer, shareholders will receive one right for each 105 common shares owned.","{'said': ['announce 2', 'assert 1', 'cite 1', 'declare 1', 'report 1', 'state 5'], 'planned': ['arrange 1', 'blueprint 1', 'intend 1', 'orchestrate 1', 'plot 1', 'ready 1', 'schedule 2', 'scheme 1'], 'rights': ['benefit 1', 'claim 1', 'entitlement 2', 'law 1', 'ownership 1', 'privilege to buy 1', 'share 1', 'stock 1'], 'offering': ['bid 2', 'offer 1', 'pledge 1', 'promotion 1', 'proposal 2', 'provision 1', 'sale 1'], 'raise': ['add 1', 'bring in 1', 'earn 2', 'fundraise 1', 'gain 1', 'get 2', 'make 1'], 'declared': ['announce 3', 'announce to be 1', 'claim 1', 'deem 1', 'proclaim 2', 'pronounce 2', 'report 1'], 'effective': ['active 1', 'effectual 1', 'efficacious 1', 'establish 1', 'implement 1', 'in effect 2', 'okay 1', 'successful 1', 'valid 1', 'work 1', 'workable 1'], 'company': ['business 3', 'corporation 2', 'firm 3', 'organization 3'], 'begin': ['commence 2', 'initiate 1', 'start 6'], 'mailing': ['advertise 1', 'convey 1', 'deliver 1', 'release 1', 'send 4', 'ship 1', 'transmit 1'], 'materials': ['content 1', 'datum 1', 'form 1', 'good 1', 'info 1', 'information 4', 'product 1'], 'shareholders': ['holder 1', 'investor 1', 'owner 1', 'stock owner 1', 'stockholder 2'], 'end': ['close 2', 'closing 1', 'conclusion 1', 'final 1', 'finish 3', 'last part 1', 'latter part 1'], 'week': ['7 day period 1', 'Friday 1', 'period 1']}"
15,"Intelogic Trace Inc., San Antonio, Texas, said it bought 2.7 million shares, or about 18%, of its common stock from an unaffiliated shareholder for $3.625 a share, or $9.9 million.",The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.,"{'said': ['announce 3', 'confirm 1', 'declare 2', 'disclose 1', 'explain 1', 'report 1', 'state 4'], 'bought': ['acquire 1', 'aquire 1', 'obtain 1', 'procure 1', 'purchase 5'], 'shares': ['allotment 1', 'company share 1', 'part 1', 'ration 1', 'stake 1', 'stock 4', 'trading unit 1', 'unit 1'], 'common': ['commonly issue 1', 'group 1', 'non preferred 1', 'ordinary 2', 'regular 1'], 'stock': ['interest 1', 'share 6', 'trading unit 1'], 'unaffiliated': ['dislocate 1', 'independent 3', 'separate 1', 'unconnected 2', 'unrelated 1', 'untie 1'], 'shareholder': ['holder 1', 'investor 1', 'owner 2', 'stakeholder 1', 'stock owner 1', 'stockholder 1'], 'share': ['company share 1', 'measure 1', 'part 1', 'piece 1', 'ration 1', 'stake 1', 'stock 4', 'trading unit 1']}"
16,Iraq clears visit by Ohio official,By Scott Montgomery Washington,"{'clears': ['allow 3', 'approve 3', 'give clearance to 1', 'okay 1', 'pass 1', 'sanction 1'], 'visit': ['appointment 1', 'arrival 1', 'stay 1', 'stop 1', 'travel 2', 'trip 1'], 'official': ['ambassador 1', 'authority 3', 'bureaucrat 1', 'director 1', 'executive 1', 'head 1', 'leader 1', 'politician 2', 'representative 2', 'statesman 1']}"
17,Lawmaker Appeals for Innocent Iraqis,"By HASSAN ABDULWAHAB, Associated Press Writer","{'Innocent': ['blameless 4', 'civilian 1', 'guiltless 3', 'hapless 1', 'honest 1', 'uninvolved 1']}"
18,"Magna International Inc. 's chief financial officer, James McAlpine, resigned and its chairman, Frank Stronach, is stepping in to help turn the automotive-parts manufacturer around, the company said.","Mr. Stronach will direct an effort to reduce overhead and curb capital spending ""until a more satisfactory level of profit is achieved and maintained,"" Magna said.","{'chief': ['executive 1', 'head 5', 'lead 3', 'preside 1', 'primary 1', 'senior 1', 'top 1'], 'financial': ['budget 1', 'budgetary 1', 'finance 1', 'fiscal 1', 'monetary 2', 'monetary matter 1', 'money 1'], 'officer': ['authority 2', 'department member 1', 'executive 1', 'leader 1', 'office holder 1', 'official 2'], 'resigned': ['forfeit 1', 'leave 3', 'quit 5', 'step down 1'], 'chairman': ['chief 1', 'chief officer 1', 'director 1', 'executive 1', 'head 3', 'leader 2', 'officer 1', 'president 1'], 'stepping': ['come 4', 'fill 1', 'walk 1'], 'help': ['aid 1', 'aid turn 1', 'assist 2', 'assist to 1', 'contribute to 1', 'facilitate to 1', 'participate in 1', 'support 1'], 'turn': ['change 2', 'fix 1', 'flip 1'], 'automotive': ['auto 2', 'automobile 1', 'car 5', 'motor vehicle 1', 'vehicle 2'], 'parts': ['accessory 1', 'component 1', 'element 1', 'good 1', 'piece 2', 'product 1', 'replacement piece 1'], 'manufacturer': ['company 2', 'creator 2', 'maker 3', 'producer 3'], 'company': ['business 1', 'corporation 1', 'currency 1', 'firm 3', 'organization 3'], 'said': ['announce 3', 'cite 1', 'claim 1', 'declare 2', 'disclose 1', 'maintain 1', 'reveal 1', 'state 5']}"
19,"Meridian National Corp. said it sold 750,000 shares of its common stock to the McAlpine family interests, for $1 million, or $1.35 a share.",The sale represents 10.2% of Meridian's shares outstanding.,"{'said': ['announce 2', 'mention 1', 'state 4'], 'sold': ['market 1', 'trade 3', 'transfer 3', 'vend 1'], 'shares': ['interest 1', 'stake 1', 'stock 5', 'trade 1', 'trading unit 1', 'unit 1'], 'common': ['average 1', 'group 1', 'normal 1', 'ordinary 1', 'regular 2'], 'stock': ['interest 1', 'share 6', 'stake 1', 'trade 1', 'trading unit 1'], 'family': ['estate 1', 'familial unit 1', 'group 3', 'line 1', 'lineage 1', 'member 1', 'relative 1'], 'interests': ['affiliate 1', 'concern 2', 'desire 1', 'enterprise 1', 'holding 1', 'investment 1', 'rate 1', 'venture 1'], 'share': ['interest 1', 'stake 1', 'stock 5', 'trade 1', 'trading unit 1']}"
20,N.V. DSM said net income in the third quarter jumped 63% as the company had substantially lower extraordinary charges to account for a restructuring program.,"The Dutch chemical group said net income gained to 235 million guilders ($113.2 million), or 6.70 guilders a share, from 144 million guilders, or 4.10 guilders a share, a year ago.","{'said': ['affirm 1', 'announce 2', 'declare 1', 'disclose 1', 'note 1', 'report 1', 'reveal 1', 'state 3'], 'net': ['clear 1', 'gross 1', 'profit 2', 'remain 1', 'take home 1', 'total 1'], 'income': ['earning 3', 'gain 1', 'profit 2', 'return 2', 'revenue 2'], 'third': ['Tri 1', 'late 1', 'number 1', 'recent 1', 'specified 1'], 'quarter': ['3 month period 1', 'interval 2', 'period 3', 'quadrant 1', 'quartern 1', 'term 3'], 'jumped': ['escalate 1', 'gain 1', 'increase 3', 'leap 1', 'rise 3', 'surge 2'], 'company': ['business 3', 'concern 1', 'corporation 1', 'enterprise 1', 'firm 2', 'group 1', 'organization 1'], 'substantially': ['adequately 1', 'considerably 1', 'drastically 1', 'much 1', 'really 1', 'significantly 4', 'sufficiently 1', 'suitably 1'], 'lower': ['curtail 1', 'decrease 2', 'few 1', 'less 1', 'lessen 2', 'reduce 1', 'small 2'], 'extraordinary': ['additional 1', 'great 1', 'huge 1', 'rare 1', 'singular 1', 'special 1', 'unexpected 1', 'unprecedented 1', 'unusual 2'], 'charges': ['cost 1', 'expenditure 1', 'expense 3', 'fee 1', 'price 1'], 'account': ['be a cause 1', 'declare 1', 'document 1', 'recount 1', 'register 1', 'report 2', 'show 1', 'track 1', 'use 1'], 'restructuring': ['change 1', 'rearrangement 1', 'rebuild 1', 'renovate 1', 'renovation 1', 'reorganization 2', 'restoration 1', 'streamlining 1'], 'program': ['agenda 1', 'campaign 1', 'plan 3', 'project 2']}"
21,OLYMPIC JUDGING SCANDAL DEEPENS WITH ARREST OF RUSSIAN CRIME FIGURE,"A Russian accused of being in organized crime was arrested in Italy on Wednesday on an American complaint that he conspired to fix the pairs figure skating and ice dancing competitions at the recent Salt Lake Winter Olympics, which were dominated by the sport's judging scandals.","{'CRIME': ['corrupt 1', 'criminal 5', 'illicit 1', 'lawbreaking 1', 'mafia 3', 'mob 2', 'notorious 1', 'underworld 1']}"
22,"Oshkosh Truck Corp., Oshkosh, Wis., estimated earnings for its fourth quarter ended Sept. 30 fell 50% to 75% below the year-earlier $4.5 million, or 51 cents a share.",The truck maker said the significant drop in net income will result in lower earnings for the fiscal year.,"{'estimated': ['appraise 1', 'approximate 3', 'assess 1', 'calculated 2', 'compute 1', 'determine 1', 'guess 1', 'predict 2'], 'earnings': ['gain 3', 'income 1', 'net income 1', 'profit 4', 'revenue 1'], 'fourth': ['final 1', 'last 4', 'quad 1'], 'quarter': ['3 month period 1', 'period 1', 'quad 1', 'quadrant 1', 'semester 1', 'term 3'], 'ended': ['cease 2', 'close 1', 'end 1', 'final 1', 'finish 4', 'over 1', 'terminate 1'], 'fell': ['decline 1', 'decrease 4', 'drop 3', 'fall 1', 'plummet 1', 'plunge 1'], 'year': ['annual 1', 'period 1', 'season 1', 'term 1'], 'earlier': ['ago 1', 'before 3', 'go by 1', 'past 1', 'previous 2', 'previously 1', 'prior 1'], 'cents': ['pence 2', 'penny 2'], 'share': ['piece 1', 'portion 1', 'stock 3', 'trade 1']}"
23,PRESCRIPTION PRIVILEGES MAKE SOME PSYCHOLOGISTS ANXIOUS,(ATTENTION EDITORS: This article is for use by clients of The New York Times Syndicate's SCIENTIFIC AMERICAN NEWS SERVICE.,"{'MAKE': ['cause 2', 'compel 1', 'evoke 1', 'have 1', 'produce 1', 'render 1', 'turn 2']}"
24,"Pacific First Financial Corp. said shareholders approved its acquisition by Royal Trustco Ltd. of Toronto for $27 a share, or $212 million.",The thrift holding company said it expects to obtain regulatory approval and complete the transaction by year-end.,"{'said': ['allege 1', 'announce 3', 'claim 2', 'declare 2', 'mention 1', 'report 1', 'state 5'], 'shareholders': ['holder 1', 'investor 1', 'owner 1', 'partner 1', 'shareowners 1', 'stock owner 1', 'stockholder 3'], 'approved': ['accept 1', 'agree 1', 'agree with 1', 'allow 1', 'applaud 1', 'back 1', 'endorse 1', 'favor 1', 'give approval to 1', 'okay 1', 'sanction 1', 'support 2', 'vote for 1'], 'acquisition': ['absorption 1', 'addition 1', 'attainment 1', 'buy 1', 'buyout 1', 'obtainment 1', 'procurement 1', 'purchase 3', 'takeover 3'], 'share': ['company share 1', 'part 1', 'piece 1', 'portion 1', 'stock 2', 'stock portion 1', 'trading unit 1']}"
25,RESPONSIBLE SEAFOOD SALES ARE THE CATCH OF THE DAY,"ATTENTION EDITORS: This article from the NEWHOUSE NEWS SERVICE report of TUESDAY, JULY 30, 2002, is available as a ""separate buy.""","{'SALES': ['barter 1', 'buying 1', 'deal 1', 'purchase 3', 'purchasing 1', 'transaction 2', 'vending 1']}"
26,"RMS International Inc., Hasbrouk Heights, N.J., facing a cash-flow squeeze, said it is seeking other financing sources and waivers from debenture holders.",The company said that because of softening sales it isn't in compliance with requirements that it maintain $3 million in working capital.,"{'facing': ['deal with 3', 'endure 1', 'experience 1', 'see 2'], 'cash': ['currency 1', 'income 1', 'money 4'], 'flow': ['availability 1', 'available 1', 'funding 1', 'income 2'], 'squeeze': ['deficit 2', 'lapse 1', 'pinch 2', 'problem 2', 'scarcity 1', 'shortage 1', 'tightening 1'], 'said': ['admit 1', 'announce 2', 'convey 1', 'declare 2', 'disclose 1', 'note 1', 'report 2', 'state 3'], 'seeking': ['attempt 1', 'desire 1', 'explore 1', 'look for 4', 'pursue 1', 'search 1', 'search for 3', 'try 1', 'view 1', 'want 1'], 'other': ['additional 3', 'alternate 1', 'alternative 1', 'different 5', 'distinct 1', 'further 2', 'more 2'], 'financing': ['capital 1', 'currency 1', 'funding 2', 'lending 1', 'loan 1', 'monetary 1', 'revenue 1'], 'sources': ['area 1', 'method 1', 'option 3', 'outlet 1'], 'waivers': ['cancellation 1', 'disclaimer 1', 'dispensation 1', 'leave 1', 'option 1', 'postponement 1', 'quitclaim 1', 'relinquishment 2'], 'debenture': ['bond 2', 'borrowing 1', 'debt 1', 'debt certificate 1', 'loan 1', 'unsecured bond 1', 'unsecured loan 1', 'voucher 1'], 'holders': ['claimant 1', 'keeper 1', 'owner 5']}"
